entry_id,paper_id,publication_date,year
0,https://openalex.org/W2171347833,2001-01-02,2001
1,https://openalex.org/W2013866881,1972-12-08,1972
2,https://openalex.org/W2742071918,2017-08-02,2017
3,https://openalex.org/W2915934899,2019-01-01,2019
4,https://openalex.org/W2316026750,2016-03-22,2016
5,https://openalex.org/W3175438020,2021-03-25,2021
6,https://openalex.org/W2076775257,2002-01-01,2002
7,https://openalex.org/W2329485124,2015-09-23,2015
8,https://openalex.org/W899466010,1995-07-01,1995
9,https://openalex.org/W2603194473,2017-03-28,2017
10,https://openalex.org/W4403753768,2024-10-25,2024
11,https://openalex.org/W4401862775,2024-08-25,2024
12,https://openalex.org/W2793168168,2018-03-04,2018
13,https://openalex.org/W2979834153,2016-12-02,2016
14,https://openalex.org/W2394922553,1997-05-01,1997
15,https://openalex.org/W2068508310,2011-05-01,2011
16,https://openalex.org/W2001450875,2010-01-21,2010
17,https://openalex.org/W2019358602,1977-11-01,1977
18,https://openalex.org/W2325887297,2016-01-01,2016
19,https://openalex.org/W4401048106,2018-11-30,2018
20,https://openalex.org/W1490187857,1998-10-01,1998
21,https://openalex.org/W2425943490,1998-12-01,1998
22,https://openalex.org/W2031956893,1990-08-01,1990
23,https://openalex.org/W2351089173,2008-01-01,2008
24,https://openalex.org/W2323361082,2002-11-12,2002
25,https://openalex.org/W1459779121,2002-01-01,2002
26,https://openalex.org/W2978741911,2019-01-01,2019
27,https://openalex.org/W2334029858,2013-01-01,2013
28,https://openalex.org/W2062118668,2005-07-01,2005
29,https://openalex.org/W2084875068,2008-02-01,2008
30,https://openalex.org/W2320068467,2010-01-04,2010
31,https://openalex.org/W3174891819,2021-06-29,2021
32,https://openalex.org/W2136364651,2008-05-20,2008
33,https://openalex.org/W4396510530,2024-04-29,2024
34,https://openalex.org/W1974368790,2011-10-01,2011
35,https://openalex.org/W2550059140,2016-09-30,2016
36,https://openalex.org/W2030378875,2011-01-01,2011
37,https://openalex.org/W1546777811,2003-10-08,2003
38,https://openalex.org/W2356362775,2007-01-01,2007
39,https://openalex.org/W4353055391,2023-03-01,2023
40,https://openalex.org/W1971498735,2004-03-05,2004
41,https://openalex.org/W1509045375,1985-05-01,1985
42,https://openalex.org/W2791313856,2016-01-01,2016
43,https://openalex.org/W2565703423,2016-01-01,2016
44,https://openalex.org/W3126006076,2004-08-20,2004
45,https://openalex.org/W2524697856,2014-01-11,2014
46,https://openalex.org/W3201548439,2002-01-01,2002
47,https://openalex.org/W2908207208,2018-12-28,2018
48,https://openalex.org/W4308735993,2022-11-09,2022
49,https://openalex.org/W3097170523,2020-10-29,2020
50,https://openalex.org/W2286828229,2016-02-26,2016
51,https://openalex.org/W1980491499,2011-10-31,2011
52,https://openalex.org/W2947991145,2019-05-22,2019
53,https://openalex.org/W3175113239,2021-05-29,2021
54,https://openalex.org/W2728420507,2017-06-28,2017
55,https://openalex.org/W2292669995,2015-12-06,2015
56,https://openalex.org/W4285223237,2022-01-01,2022
57,https://openalex.org/W4401890587,2024-08-26,2024
58,https://openalex.org/W2170185915,2004-01-01,2004
59,https://openalex.org/W4288972361,2022-01-01,2022
60,https://openalex.org/W2101999971,2004-09-01,2004
61,https://openalex.org/W2401872800,1990-01-01,1990
62,https://openalex.org/W2004126654,1998-04-26,1998
63,https://openalex.org/W1588652812,2007-12-01,2007
64,https://openalex.org/W2014657724,2005-06-15,2005
65,https://openalex.org/W2391367943,2008-01-01,2008
66,https://openalex.org/W1492768223,2014-04-01,2014
67,https://openalex.org/W2789909988,2018-03-16,2018
68,https://openalex.org/W2338401152,2016-04-01,2016
69,https://openalex.org/W3192413641,2021-01-01,2021
70,https://openalex.org/W3006340846,2022-02-26,2022
71,https://openalex.org/W2171487630,2003-01-01,2003
72,https://openalex.org/W2080044089,2011-05-01,2011
73,https://openalex.org/W4237624294,1999-07-01,1999
74,https://openalex.org/W570555593,1984-01-01,1984
75,https://openalex.org/W2467617132,2005-04-01,2005
76,https://openalex.org/W3181596338,2021-07-10,2021
77,https://openalex.org/W2100191225,1992-08-01,1992
78,https://openalex.org/W2143681385,2006-08-22,2006
79,https://openalex.org/W2060621930,1973-07-01,1973
80,https://openalex.org/W4286668860,2022-07-23,2022
81,https://openalex.org/W2164372289,2004-06-01,2004
82,https://openalex.org/W4399477298,2024-06-10,2024
83,https://openalex.org/W608600187,1996-06-01,1996
84,https://openalex.org/W2035195478,2006-01-01,2006
85,https://openalex.org/W3214707091,2021-11-01,2021
86,https://openalex.org/W2026893793,2001-08-01,2001
87,https://openalex.org/W3199093905,2021-09-01,2021
88,https://openalex.org/W2470751319,1982-05-01,1982
89,https://openalex.org/W2012086017,2014-10-08,2014
90,https://openalex.org/W2058404941,1977-09-01,1977
91,https://openalex.org/W4404963740,2024-12-01,2024
92,https://openalex.org/W2081616117,2003-01-20,2003
93,https://openalex.org/W2107080287,2010-01-01,2010
94,https://openalex.org/W4310954030,2022-11-01,2022
95,https://openalex.org/W1980792478,2013-10-21,2013
96,https://openalex.org/W2117900501,2012-01-04,2012
97,https://openalex.org/W1961497476,1986-10-01,1986
98,https://openalex.org/W2047143679,1959-03-15,1959
99,https://openalex.org/W2895651895,2018-10-01,2018
100,https://openalex.org/W2795534239,2022-03-03,2022
101,https://openalex.org/W2089279117,2003-02-21,2003
102,https://openalex.org/W2092811160,1995-01-01,1995
103,https://openalex.org/W4312699875,2022-06-22,2022
104,https://openalex.org/W2070231479,1988-01-01,1988
105,https://openalex.org/W2365300141,2007-01-01,2007
106,https://openalex.org/W1606386682,2009-08-01,2009
107,https://openalex.org/W73255534,2006-05-24,2006
108,https://openalex.org/W4220918363,2022-03-14,2022
109,https://openalex.org/W2156225673,2013-07-15,2013
110,https://openalex.org/W2891373876,2018-07-01,2018
111,https://openalex.org/W2050031510,1992-02-01,1992
112,https://openalex.org/W2885104985,2018-07-01,2018
113,https://openalex.org/W2021349659,1981-01-01,1981
114,https://openalex.org/W2897795388,2005-01-01,2005
115,https://openalex.org/W2058123619,2012-03-22,2012
116,https://openalex.org/W4295914617,1969-12-31,1969
117,https://openalex.org/W3046377525,2020-07-31,2020
118,https://openalex.org/W2114803937,2009-09-14,2009
119,https://openalex.org/W1504541031,2006-09-01,2006
120,https://openalex.org/W1974675549,1988-04-01,1988
121,https://openalex.org/W2011203802,2007-11-13,2007
122,https://openalex.org/W2033123198,2008-08-27,2008
123,https://openalex.org/W3216349085,2021-07-20,2021
124,https://openalex.org/W2949282956,2020-01-07,2020
125,https://openalex.org/W1160605655,1995-04-28,1995
126,https://openalex.org/W2035999026,1987-05-01,1987
127,https://openalex.org/W2803319607,2018-01-22,2018
128,https://openalex.org/W2106973483,2014-08-25,2014
129,https://openalex.org/W2787786614,2018-01-01,2018
130,https://openalex.org/W1967598304,2004-07-27,2004
131,https://openalex.org/W4252661876,2006-01-01,2006
132,https://openalex.org/W2885335151,2018-07-01,2018
133,https://openalex.org/W2368673051,2004-01-01,2004
134,https://openalex.org/W2002367368,1998-01-01,1998
135,https://openalex.org/W2087896514,2014-01-01,2014
136,https://openalex.org/W2536471292,2002-11-13,2002
137,https://openalex.org/W2205684842,2003-01-01,2003
138,https://openalex.org/W1989493875,1980-02-15,1980
139,https://openalex.org/W3215419997,2021-11-01,2021
140,https://openalex.org/W3126806859,2021-02-06,2021
141,https://openalex.org/W213623995,2019-08-24,2019
142,https://openalex.org/W1796823929,2007-07-16,2007
143,https://openalex.org/W2050543992,2012-11-21,2012
144,https://openalex.org/W3204167724,2021-09-30,2021
145,https://openalex.org/W2625389800,2017-06-01,2017
146,https://openalex.org/W2767334509,2017-11-01,2017
147,https://openalex.org/W3023888219,2020-04-28,2020
148,https://openalex.org/W2897676853,2018-10-01,2018
149,https://openalex.org/W4388273567,2023-10-25,2023
150,https://openalex.org/W2050358181,2013-03-07,2013
151,https://openalex.org/W2756697892,2002-12-19,2002
152,https://openalex.org/W2096258063,2013-03-28,2013
153,https://openalex.org/W2049828355,2013-01-01,2013
154,https://openalex.org/W2108130372,2004-06-23,2004
155,https://openalex.org/W2774762888,2017-12-04,2017
156,https://openalex.org/W4412493379,2025-07-17,2025
157,https://openalex.org/W3112446630,2020-12-12,2020
158,https://openalex.org/W1985168361,1983-12-22,1983
159,https://openalex.org/W4312097856,2022-12-22,2022
160,https://openalex.org/W2071742653,2014-01-01,2014
161,https://openalex.org/W2970277047,2019-05-04,2019
162,https://openalex.org/W2000625944,1979-01-01,1979
163,https://openalex.org/W3093534034,2020-01-01,2020
164,https://openalex.org/W2295585505,2014-09-08,2014
165,https://openalex.org/W1978725557,2005-03-01,2005
166,https://openalex.org/W2473403234,2025-07-14,2025
167,https://openalex.org/W2555440268,2015-01-01,2015
168,https://openalex.org/W2519009585,2012-12-01,2012
169,https://openalex.org/W1972631149,2010-08-01,2010
170,https://openalex.org/W2029510086,1970-01-01,1970
171,https://openalex.org/W2181731752,2011-10-01,2011
